campaign_id,headline,body_text,cta_text,unique_visitors,signatures,conversion_rate,traffic_source,cause_category,campaign_duration_days,launch_date,has_image,has_video
CAMP-2022-000,38798 Families Will Lose Their Homes. We Must Act.,"We are calling on Director Walsh to reconsider the recent decision regarding public schools. The impact on local families would be severe. 2990 residents have already signed a community letter — but Director Walsh has not responded. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. We have 51 days before the final decision is made. Your signature today could change everything. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not rate hikes.",Sign to Tell Minister Davies: We Say No to the new dam,1250,99,7.99,social,food_security,49,2026-03-13,True,False
CAMP-2022-001,Stop Governor Mills's Plan to cut Our the community center,"This petition addresses the impact of build on our river. Independent experts warn that rezoning will cost the community an estimated $16M over the next decade. Independent experts warn that rezoning will cost the community an estimated $16M over the next decade. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not budget cuts. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Demand Minister Davies Reverse This Decision Now,8585,2435,28.37,email,education,12,2024-11-12,True,False
CAMP-2022-002,Support the urban forest Conservation,"We are calling on Councillor Park to reconsider the recent decision regarding affordable housing. The impact on local families would be severe. 4956 residents have already signed a community letter — but Director Walsh has not responded. Independent experts warn that the bypass road will cost the community an estimated $1M over the next decade. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. The impact on local families would be severe. 4956 residents have already signed a community letter — but Director Walsh has not responded. The impact on local families would be severe. 4956 residents have already signed a community letter — but Director Walsh has not responded.",Sign Before February 04 — Every Signature Counts,11504,57,0.5,paid,education,48,2025-07-12,True,False
CAMP-2022-003,How Long Will We Let City Council Destroy the green belt?,"This is not about policy — it's about Councillor Park choosing corporate interests over our families. This is not the first time Mayor Chen has ignored our community. In 1990, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not the new dam. We have 60 days before the final decision is made. Your signature today could change everything. The impact on local families would be severe. 2952 residents have already signed a community letter — but Planning Board has not responded. Independent experts warn that rate hikes will cost the community an estimated $15M over the next decade.",Sign the Petition,1735,505,29.13,email,healthcare,35,2024-06-25,False,False
CAMP-2022-004,Support the community center Conservation,"If we do nothing, school closures will devastate our river within 19 days. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. The impact on local families would be severe. 1572 residents have already signed a community letter — but Governor Mills has not responded. This is not the first time Governor Mills has ignored our community. In 1975, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit the green belt — not the new dam. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Sign Before January 25 — Every Signature Counts,11504,273,2.37,social,food_security,48,2024-07-12,False,False
CAMP-2022-005,Stop Governor Mills's Plan to privatize Our the park,"Every signature sends a message: affordable housing is worth fighting for. Our children will inherit the consequences of this decision. Let's make sure they inherit our river — not deforestation. This is not the first time Senator Torres has ignored our community. In 1986, a similar proposal was stopped by grassroots action — just like this. We have 36 days before the final decision is made. Your signature today could change everything. The impact on local families would be severe. 2858 residents have already signed a community letter — but Minister Davies has not responded. The impact on local families would be severe. 2858 residents have already signed a community letter — but Minister Davies has not responded.",Sign Before March 16 — Every Signature Counts,14968,1438,9.61,organic,civil_rights,51,2025-05-16,True,False
CAMP-2022-006,Last Chance to Stop school closures — Vote in 14 Days,"This petition addresses the impact of demolish on the green belt. The impact on local families would be severe. 3905 residents have already signed a community letter — but Minister Davies has not responded. Our children will inherit the consequences of this decision. Let's make sure they inherit the green belt — not rezoning. Independent experts warn that rezoning will cost the community an estimated $15M over the next decade. This is not the first time Senator Torres has ignored our community. In 2025, a similar proposal was stopped by grassroots action — just like this.",Sign Before January 24 — Every Signature Counts,11010,2177,19.78,email,housing,39,2024-11-12,True,False
CAMP-2022-007,How Long Will We Let Director Walsh Destroy the community center?,"Every signature sends a message: the urban forest is worth fighting for. This is not the first time Senator Torres has ignored our community. In 1986, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not rezoning. This is not the first time Senator Torres has ignored our community. In 1986, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not rezoning. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not rezoning.",Sign Now,13542,67,0.5,social,education,54,2026-03-19,True,False
CAMP-2022-008,Tell Senator Torres to Stop school closures Now,"Together, we can stop rezoning and protect public schools for future generations. Our children will inherit the consequences of this decision. Let's make sure they inherit the park — not toxic dumping. This is not the first time Planning Board has ignored our community. In 1993, a similar proposal was stopped by grassroots action — just like this. This is not the first time Planning Board has ignored our community. In 1993, a similar proposal was stopped by grassroots action — just like this.",Tell Governor Mills: the urban forest Belongs to the Community,13241,2859,21.59,email,education,40,2025-07-03,True,False
CAMP-2022-009,22110 Families Will Lose Their Homes. We Must Act.,"Despite 19669 letters and 19669 public comments, Planning Board is pushing ahead anyway. This is not the first time Planning Board has ignored our community. In 2002, a similar proposal was stopped by grassroots action — just like this. We have 22 days before the final decision is made. Your signature today could change everything. Our children will inherit the consequences of this decision. Let's make sure they inherit the park — not the new dam. Our children will inherit the consequences of this decision. Let's make sure they inherit the park — not the new dam.",Sign to Tell Planning Board: We Say No to toxic dumping,10695,1321,12.36,organic,healthcare,41,2025-09-24,True,True
CAMP-2022-010,Tell the School Board: the urban forest Is Not for Sale,"Communities like ours have won before. With your signature, we can win again. We have 41 days before the final decision is made. Your signature today could change everything. Independent experts warn that the bypass road will cost the community an estimated $4M over the next decade. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Join the Fight,5596,700,12.53,paid,housing,13,2025-10-03,True,False
CAMP-2022-011,45791 Children Affected — And Planning Board Is Silent,"Right now, Governor Mills is moving forward with a plan that will destroy our coastline forever. The impact on local families would be severe. 4458 residents have already signed a community letter — but City Council has not responded. We have 57 days before the final decision is made. Your signature today could change everything. This is not the first time Senator Torres has ignored our community. In 1979, a similar proposal was stopped by grassroots action — just like this. Independent experts warn that the bypass road will cost the community an estimated $14M over the next decade. This is not the first time Senator Torres has ignored our community. In 1979, a similar proposal was stopped by grassroots action — just like this.",Deadline: February 03. Sign Today.,3975,833,20.97,email,climate,29,2025-01-22,True,False
CAMP-2022-012,Citizens Against budget cuts,"Despite 20194 letters and 20194 public comments, Director Walsh is pushing ahead anyway. Our children will inherit the consequences of this decision. Let's make sure they inherit the green belt — not rezoning. This is not the first time Councillor Park has ignored our community. In 1995, a similar proposal was stopped by grassroots action — just like this. We have 52 days before the final decision is made. Your signature today could change everything. Our children will inherit the consequences of this decision. Let's make sure they inherit the green belt — not rezoning. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Add Your Name,9251,1147,12.4,email,food_security,15,2025-09-23,False,False
CAMP-2022-013,Tell Senator Torres to Stop toxic dumping Now,"Right now, Governor Mills is moving forward with a plan that will destroy the community center forever. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not rezoning. Independent experts warn that budget cuts will cost the community an estimated $19M over the next decade. We have 44 days before the final decision is made. Your signature today could change everything. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not rezoning. The impact on local families would be severe. 4871 residents have already signed a community letter — but Planning Board has not responded.",Sign the Petition,11762,1688,14.36,email,transit,21,2025-10-06,True,False
CAMP-2022-014,Last Chance to Stop rate hikes — Vote in 5 Days,"Despite 44158 letters and 44158 public comments, Director Walsh is pushing ahead anyway. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. This is not the first time City Council has ignored our community. In 2021, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit affordable housing — not toxic dumping. This is not the first time City Council has ignored our community. In 2021, a similar proposal was stopped by grassroots action — just like this. The impact on local families would be severe. 4770 residents have already signed a community letter — but Mayor Chen has not responded.",Demand Senator Torres Reverse This Decision Now,11865,2807,23.66,email,housing,38,2024-12-14,True,False
CAMP-2022-015,Tell the Planning Commission: the community center Is Not for Sale,"Right now, City Council is moving forward with a plan that will destroy the community center forever. Our children will inherit the consequences of this decision. Let's make sure they inherit the park — not deforestation. Independent experts warn that deforestation will cost the community an estimated $8M over the next decade. This is not the first time Governor Mills has ignored our community. In 1976, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit the park — not deforestation. We have 58 days before the final decision is made. Your signature today could change everything.",Sign Before February 02 — Every Signature Counts,3622,433,11.97,paid,education,45,2024-12-09,True,False
CAMP-2022-016,18636 Families Will Lose Their Homes. We Must Act.,"Minister Davies has ignored our community for the last time. The impact on local families would be severe. 3212 residents have already signed a community letter — but Councillor Park has not responded. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. This is not the first time Director Walsh has ignored our community. In 2006, a similar proposal was stopped by grassroots action — just like this. The impact on local families would be severe. 3212 residents have already signed a community letter — but Councillor Park has not responded. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not the bypass road.",Deadline: January 01. Sign Today.,11146,2266,20.33,email,transit,12,2025-11-22,False,False
CAMP-2022-017,Last Chance to Stop school closures — Vote in 24 Days,"Right now, Director Walsh is moving forward with a plan that will destroy the urban forest forever. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. Independent experts warn that deforestation will cost the community an estimated $20M over the next decade. Independent experts warn that deforestation will cost the community an estimated $20M over the next decade. This is not the first time Planning Board has ignored our community. In 1977, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit the green belt — not the bypass road.",Deadline: March 13. Sign Today.,5449,463,8.51,social,civil_rights,19,2024-09-21,True,False
CAMP-2022-018,Final Call: Protect the urban forest Before February 21,"Every signature sends a message: our river is worth fighting for. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. We have 16 days before the final decision is made. Your signature today could change everything. Independent experts warn that school closures will cost the community an estimated $14M over the next decade. We have 16 days before the final decision is made. Your signature today could change everything.",Take Action,14592,945,6.48,social,housing,50,2026-02-04,False,True
CAMP-2022-019,Save Our the urban forest,"We are calling on Governor Mills to reconsider the recent decision regarding our river. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not rate hikes. The impact on local families would be severe. 4453 residents have already signed a community letter — but Councillor Park has not responded. This is not the first time Planning Board has ignored our community. In 1984, a similar proposal was stopped by grassroots action — just like this. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. This is not the first time Planning Board has ignored our community. In 1984, a similar proposal was stopped by grassroots action — just like this.",Sign Now,2127,138,6.53,email,climate,50,2024-12-07,True,True
CAMP-2022-020,How Long Will We Let Director Walsh Destroy the urban forest?,"Together, we can stop toxic dumping and protect our river for future generations. Independent experts warn that toxic dumping will cost the community an estimated $1M over the next decade. We have 27 days before the final decision is made. Your signature today could change everything. The impact on local families would be severe. 950 residents have already signed a community letter — but Mayor Chen has not responded. Independent experts warn that toxic dumping will cost the community an estimated $1M over the next decade. Our children will inherit the consequences of this decision. Let's make sure they inherit our coastline — not the new dam.",We Are 4596 Strong — Will You Join?,1496,417,27.89,email,transit,37,2025-11-28,True,True
CAMP-2022-021,Save Our the park,"Despite 28068 letters and 28068 public comments, Director Walsh is pushing ahead anyway. The impact on local families would be severe. 3116 residents have already signed a community letter — but Councillor Park has not responded. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not rate hikes. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not rate hikes. We have 10 days before the final decision is made. Your signature today could change everything. Independent experts warn that the bypass road will cost the community an estimated $3M over the next decade.",Demand Planning Board Reverse This Decision Now,3035,100,3.32,social,food_security,49,2025-06-11,False,False
CAMP-2022-022,36863 Families Will Lose Their Homes. We Must Act.,"We are calling on Governor Mills to reconsider the recent decision regarding our river. Independent experts warn that budget cuts will cost the community an estimated $11M over the next decade. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. The impact on local families would be severe. 1339 residents have already signed a community letter — but Director Walsh has not responded. Our children will inherit the consequences of this decision. Let's make sure they inherit our river — not toxic dumping. The impact on local families would be severe. 1339 residents have already signed a community letter — but Director Walsh has not responded.",We Are 23104 Strong — Will You Join?,8894,103,1.16,social,climate,14,2025-05-02,True,False
CAMP-2022-023,Should Senator Torres Be Allowed to expand Our affordable housing?,"Our the community center is under immediate threat — and most people don't even know it yet. We have 23 days before the final decision is made. Your signature today could change everything. Independent experts warn that rate hikes will cost the community an estimated $14M over the next decade. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. This is not the first time Governor Mills has ignored our community. In 1990, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit the urban forest — not the new dam.",Sign to Tell Councillor Park: We Say No to budget cuts,5583,1257,22.52,email,civil_rights,54,2024-11-29,True,False
CAMP-2022-024,Why Is the Planning Commission Ignoring climate policy?,We are calling on Director Walsh to reconsider the recent decision regarding public schools. The impact on local families would be severe. 2300 residents have already signed a community letter — but Mayor Chen has not responded. The impact on local families would be severe. 2300 residents have already signed a community letter — but Mayor Chen has not responded. We have 9 days before the final decision is made. Your signature today could change everything. We have 9 days before the final decision is made. Your signature today could change everything. The impact on local families would be severe. 2300 residents have already signed a community letter — but Mayor Chen has not responded.,Sign to Tell Senator Torres: We Say No to rezoning,7881,1546,19.62,email,climate,13,2025-10-06,True,True
CAMP-2022-025,Citizens Against toxic dumping,"This is not about policy — it's about Councillor Park choosing corporate interests over our families. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not deforestation. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not deforestation. This is not the first time Director Walsh has ignored our community. In 2012, a similar proposal was stopped by grassroots action — just like this. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. We have 29 days before the final decision is made. Your signature today could change everything.",Sign Now,3038,588,19.37,email,climate,11,2026-02-02,False,True
CAMP-2022-026,Tell Mayor Chen to Stop school closures Now,"Despite 33058 letters and 33058 public comments, Minister Davies is pushing ahead anyway. Our children will inherit the consequences of this decision. Let's make sure they inherit our coastline — not deforestation. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. The impact on local families would be severe. 1377 residents have already signed a community letter — but Minister Davies has not responded. We have 8 days before the final decision is made. Your signature today could change everything. The impact on local families would be severe. 1377 residents have already signed a community letter — but Minister Davies has not responded.",Join 15435 Neighbors Standing Up,961,207,21.56,email,civil_rights,27,2024-07-02,True,False
CAMP-2022-027,Last Chance to Stop toxic dumping — Vote in 29 Days,"Right now, Governor Mills is moving forward with a plan that will destroy the green belt forever. Independent experts warn that rezoning will cost the community an estimated $5M over the next decade. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. This is not the first time Planning Board has ignored our community. In 2008, a similar proposal was stopped by grassroots action — just like this. Independent experts warn that rezoning will cost the community an estimated $5M over the next decade. Our children will inherit the consequences of this decision. Let's make sure they inherit our river — not school closures.",Add Your Voice to 9898 Others,10914,1688,15.47,paid,environment,31,2025-08-10,False,False
CAMP-2022-028,Final Call: Protect the community center Before March 27,"If we do nothing, school closures will devastate affordable housing within 27 days. This is not the first time Governor Mills has ignored our community. In 1981, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit our coastline — not rate hikes. This is not the first time Governor Mills has ignored our community. In 1981, a similar proposal was stopped by grassroots action — just like this.",Demand Director Walsh Reverse This Decision Now,11838,1422,12.02,organic,civil_rights,38,2026-02-14,False,False
CAMP-2022-029,How Long Will We Let Senator Torres Destroy the urban forest?,"Every signature sends a message: our river is worth fighting for. We have 13 days before the final decision is made. Your signature today could change everything. This is not the first time Governor Mills has ignored our community. In 1984, a similar proposal was stopped by grassroots action — just like this. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. The impact on local families would be severe. 305 residents have already signed a community letter — but Councillor Park has not responded. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Demand Senator Torres Reverse This Decision Now,6840,717,10.49,paid,environment,42,2024-04-05,True,False
CAMP-2022-030,Stop City Council's Plan to demolish Our affordable housing,"The proposed build plan would affect the green belt in the following ways. This is not the first time Planning Board has ignored our community. In 2014, a similar proposal was stopped by grassroots action — just like this. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. The impact on local families would be severe. 3878 residents have already signed a community letter — but Councillor Park has not responded. Independent experts warn that deforestation will cost the community an estimated $3M over the next decade. We have 24 days before the final decision is made. Your signature today could change everything.",Join the Fight,9532,311,3.26,social,food_security,47,2024-05-04,False,True
CAMP-2022-031,10714 Families Will Lose Their Homes. We Must Act.,"Every signature sends a message: our coastline is worth fighting for. Independent experts warn that the new dam will cost the community an estimated $16M over the next decade. Our children will inherit the consequences of this decision. Let's make sure they inherit affordable housing — not the bypass road. This is not the first time Senator Torres has ignored our community. In 1980, a similar proposal was stopped by grassroots action — just like this. We have 45 days before the final decision is made. Your signature today could change everything.",Take Action,8109,121,1.49,social,environment,20,2025-01-01,False,False
CAMP-2022-032,Should Director Walsh Be Allowed to build Our our coastline?,"The proposed cut plan would affect the green belt in the following ways. The impact on local families would be severe. 239 residents have already signed a community letter — but Governor Mills has not responded. The impact on local families would be severe. 239 residents have already signed a community letter — but Governor Mills has not responded. We have 34 days before the final decision is made. Your signature today could change everything. This is not the first time Minister Davies has ignored our community. In 1986, a similar proposal was stopped by grassroots action — just like this. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Join the Fight,12419,789,6.36,social,housing,30,2024-06-20,True,True
CAMP-2022-033,Citizens Against rate hikes,"Our our river is under immediate threat — and most people don't even know it yet. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. We have 25 days before the final decision is made. Your signature today could change everything. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Add Your Voice to 36658 Others,7324,570,7.79,organic,food_security,44,2024-05-18,False,False
CAMP-2022-034,How Long Will We Let Mayor Chen Destroy affordable housing?,"Every signature sends a message: public schools is worth fighting for. Independent experts warn that school closures will cost the community an estimated $18M over the next decade. We have 27 days before the final decision is made. Your signature today could change everything. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. We have 27 days before the final decision is made. Your signature today could change everything. Independent experts warn that school closures will cost the community an estimated $18M over the next decade.",Sign to Tell Mayor Chen: We Say No to deforestation,13531,1320,9.76,social,climate,53,2025-12-09,False,True
CAMP-2022-035,Tell Planning Board to Stop rate hikes Now,Our our river is under immediate threat — and most people don't even know it yet. We have 46 days before the final decision is made. Your signature today could change everything. We have 46 days before the final decision is made. Your signature today could change everything. We have 46 days before the final decision is made. Your signature today could change everything. Our children will inherit the consequences of this decision. Let's make sure they inherit the park — not rezoning. The impact on local families would be severe. 1176 residents have already signed a community letter — but Mayor Chen has not responded.,Join the Fight,14954,2032,13.59,organic,environment,60,2024-05-24,True,False
CAMP-2022-036,Tell Planning Board to Stop the bypass road Now,"This is not about policy — it's about Senator Torres choosing corporate interests over our families. This is not the first time Governor Mills has ignored our community. In 1981, a similar proposal was stopped by grassroots action — just like this. We have 47 days before the final decision is made. Your signature today could change everything. Independent experts warn that deforestation will cost the community an estimated $13M over the next decade. The impact on local families would be severe. 3553 residents have already signed a community letter — but Director Walsh has not responded. We have 47 days before the final decision is made. Your signature today could change everything.",We Have 28 Days. Sign Now.,4371,1120,25.63,email,environment,10,2024-04-14,False,False
CAMP-2022-037,Save Our the urban forest,"This petition addresses the impact of rezone on our coastline. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not rezoning. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. This is not the first time City Council has ignored our community. In 1985, a similar proposal was stopped by grassroots action — just like this. The impact on local families would be severe. 4741 residents have already signed a community letter — but Councillor Park has not responded. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Sign to Tell City Council: We Say No to toxic dumping,11522,57,0.5,social,climate,58,2025-08-20,True,False
CAMP-2022-038,Should Planning Board Be Allowed to rezone Our our river?,"Despite 11796 letters and 11796 public comments, Planning Board is pushing ahead anyway. Our children will inherit the consequences of this decision. Let's make sure they inherit affordable housing — not the bypass road. Our children will inherit the consequences of this decision. Let's make sure they inherit affordable housing — not the bypass road. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. This is not the first time Mayor Chen has ignored our community. In 1984, a similar proposal was stopped by grassroots action — just like this. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Sign the Petition,10294,1757,17.07,email,housing,50,2025-02-19,False,False
